2017_precip,2018_precip,2017_wind_speed_miles,2018_wind_speed_miles,2017_humidity,2018_humidity,2017_wind_degree,2018_wind_degree,2017_temp_F,2018_temp_F,2017_cloud_cover,2018_cloud_cover
0.1,0.0,5.0,6.0,75.0,59.0,238.0,235.0,77.0,80.0,77.0,80.0
0.1,0.0,6.0,5.0,76.0,66.0,234.0,235.0,73.0,81.0,73.0,81.0
0.1,0.1,7.0,6.0,78.0,78.0,233.0,241.0,73.0,73.0,73.0,73.0
0.1,0.0,8.0,8.0,82.0,81.0,231.0,244.0,63.0,69.0,63.0,69.0
0.1,0.2,7.0,8.0,77.0,81.0,228.0,249.0,69.0,70.0,69.0,70.0
0.1,0.1,5.0,6.0,74.0,78.0,233.0,253.0,74.0,74.0,74.0,74.0
0.0,0.1,5.0,4.0,74.0,68.0,247.0,247.0,77.0,80.0,77.0,80.0
0.0,0.0,5.0,4.0,75.0,56.0,250.0,243.0,78.0,83.0,78.0,83.0
0.1,0.0,6.0,5.0,78.0,68.0,240.0,238.0,75.0,77.0,75.0,77.0
0.1,0.0,6.0,6.0,75.0,75.0,239.0,232.0,75.0,72.0,75.0,72.0
0.9,0.2,6.0,7.0,82.0,81.0,246.0,237.0,72.0,67.0,72.0,67.0
0.0,0.1,5.0,6.0,75.0,78.0,257.0,243.0,77.0,71.0,77.0,71.0
0.1,0.1,6.0,7.0,78.0,78.0,244.0,248.0,75.0,69.0,75.0,69.0
0.1,0.1,6.0,6.0,78.0,78.0,236.0,244.0,72.0,71.0,72.0,71.0
0.1,0.1,4.0,5.0,71.0,73.0,242.0,239.0,77.0,76.0,77.0,76.0
0.0,0.1,4.0,6.0,55.0,76.0,246.0,238.0,88.0,71.0,88.0,71.0
0.0,0.2,4.0,7.0,50.0,80.0,247.0,230.0,91.0,68.0,91.0,68.0
0.0,0.1,5.0,6.0,56.0,78.0,244.0,235.0,89.0,67.0,89.0,67.0
0.0,0.0,5.0,6.0,72.0,73.0,239.0,222.0,76.0,72.0,76.0,72.0
0.1,0.3,5.0,6.0,72.0,74.0,240.0,247.0,76.0,71.0,76.0,71.0
0.0,0.1,3.0,5.0,51.0,74.0,224.0,249.0,88.0,76.0,88.0,76.0
0.0,0.0,3.0,5.0,25.0,74.0,181.0,239.0,97.0,75.0,97.0,75.0
0.0,0.0,3.0,5.0,29.0,70.0,199.0,233.0,99.0,79.0,99.0,79.0
0.0,0.1,4.0,5.0,38.0,76.0,223.0,242.0,91.0,75.0,91.0,75.0
0.2,0.1,5.0,5.0,61.0,77.0,238.0,247.0,77.0,75.0,77.0,75.0
0.9,0.1,5.0,6.0,75.0,80.0,263.0,245.0,82.0,71.0,82.0,71.0
0.3,0.1,5.0,5.0,77.0,75.0,248.0,251.0,78.0,73.0,78.0,73.0
0.1,0.0,6.0,4.0,76.0,66.0,236.0,242.0,73.0,79.0,73.0,79.0
1.4,0.0,5.0,5.0,77.0,63.0,248.0,246.0,76.0,80.0,76.0,80.0
0.8,0.0,4.0,5.0,74.0,67.0,232.0,243.0,78.0,78.0,78.0,78.0
0.0,0.0,3.0,4.0,55.0,65.0,224.0,241.0,88.0,78.0,88.0,78.0
2.7,0.0,4.0,6.0,55.0,62.0,235.0,247.0,86.0,75.0,86.0,75.0
0.1,0.0,5.0,7.0,70.0,72.0,240.0,258.0,81.0,68.0,81.0,68.0
1.1,0.0,7.0,7.0,81.0,71.0,238.0,250.0,69.0,69.0,69.0,69.0
0.1,0.0,8.0,5.0,72.0,70.0,244.0,243.0,69.0,71.0,69.0,71.0
0.0,0.0,5.0,8.0,70.0,74.0,250.0,252.0,73.0,68.0,73.0,68.0
0.0,0.0,4.0,5.0,70.0,71.0,240.0,250.0,75.0,71.0,75.0,71.0
0.0,0.1,5.0,6.0,74.0,77.0,236.0,242.0,73.0,69.0,73.0,69.0
0.0,0.1,9.0,5.0,77.0,75.0,255.0,235.0,71.0,69.0,71.0,69.0
0.0,0.0,6.0,4.0,62.0,68.0,287.0,243.0,72.0,75.0,72.0,75.0
0.0,0.0,9.0,3.0,73.0,44.0,260.0,253.0,70.0,81.0,70.0,81.0
0.0,0.0,8.0,3.0,61.0,45.0,281.0,223.0,67.0,80.0,67.0,80.0
0.0,0.0,3.0,4.0,61.0,63.0,269.0,247.0,70.0,75.0,70.0,75.0
0.0,0.0,5.0,4.0,43.0,65.0,317.0,236.0,75.0,74.0,75.0,74.0
0.0,0.0,3.0,3.0,42.0,60.0,256.0,216.0,77.0,80.0,77.0,80.0
0.0,0.0,3.0,4.0,44.0,65.0,240.0,239.0,79.0,78.0,79.0,78.0
0.0,0.0,3.0,3.0,39.0,62.0,194.0,229.0,83.0,81.0,83.0,81.0
0.0,0.0,3.0,4.0,39.0,70.0,163.0,242.0,83.0,77.0,83.0,77.0
0.0,0.2,4.0,6.0,50.0,82.0,257.0,243.0,82.0,65.0,82.0,65.0
0.0,0.1,6.0,6.0,76.0,76.0,248.0,210.0,71.0,69.0,71.0,69.0
0.0,0.2,5.0,4.0,68.0,72.0,266.0,202.0,74.0,73.0,74.0,73.0
0.0,0.5,5.0,3.0,49.0,69.0,295.0,217.0,75.0,73.0,75.0,73.0
0.0,2.2,6.0,4.0,41.0,72.0,297.0,159.0,74.0,77.0,74.0,77.0
0.0,1.1,4.0,6.0,51.0,85.0,241.0,235.0,71.0,65.0,71.0,65.0
0.0,0.0,3.0,8.0,50.0,84.0,240.0,236.0,74.0,61.0,74.0,61.0
0.0,0.0,3.0,6.0,38.0,76.0,231.0,264.0,76.0,65.0,76.0,65.0
0.0,0.0,4.0,8.0,33.0,70.0,243.0,287.0,79.0,69.0,79.0,69.0
0.0,0.0,4.0,13.0,49.0,40.0,227.0,177.0,79.0,79.0,79.0,79.0
